x_coord	y_coord	conditions	clusters	energy
80.01256	-11.369122	WT	Cluster4	2.4
-82.70626	-3.9832673	WT	Cluster0	10.4
-61.600883	0.7499471	WT	Cluster0	10.6
2.090001	-34.41862	WT	Cluster3	9.5
44.009438	20.088892	WT	Cluster1	10.4
28.591932	29.699863	WT	Cluster1	7.7
-4.875593	2.6694467	WT	Cluster3	9.3
56.379013	18.319616	WT	Cluster1	7.8
-74.346664	-6.777067	WT	Cluster0	10.4
-10.433449	0.5745529	WT	Cluster3	13.7
62.203644	-8.185697	WT	Cluster4	10.6
23.535309	30.441004	WT	Cluster1	7.6
-64.155045	-0.47214544	WT	Cluster0	10.6
34.927155	24.666359	WT	Cluster1	7.8
-88.491425	-2.827764	WT	Cluster0	10.6
67.742775	-13.99956	WT	Cluster4	7.7
74.48501	-23.311977	WT	Cluster4	7.9
-72.29844	0.53265566	WT	Cluster0	10.6
-1.7650774	-0.4088651	WT	Cluster3	9.5
-23.947197	-29.117785	WT	Cluster3	8.1
-44.60832	58.815536	WT	Cluster2	10.4
-1.3222655	-26.619991	WT	Cluster3	8.1
12.137633	-39.92705	WT	Cluster3	9.3
54.01522	5.245469	WT	Cluster1	7.9
6.3550563	0.7144835	WT	Cluster3	12.3
1.0069549	-3.6428287	WT	Cluster3	9.5
22.591368	14.886862	WT	Cluster1	4.8
4.976003	-30.356604	WT	Cluster3	7.8
-39.45742	51.39568	WT	Cluster2	10.4
-102.38003	-24.460636	WT	Cluster0	12.1
10.890082	-3.0201526	WT	Cluster3	9.6
-7.1049213	-21.051575	WT	Cluster3	7.9
25.498762	31.88005	WT	Cluster1	7.9
-8.27943	-31.284456	WT	Cluster3	9.3
58.9858	-0.15539323	WT	Cluster4	14.7
37.977966	26.685621	WT	Cluster1	7.6
-2.871389	-21.483408	WT	Cluster3	10.4
-82.89179	3.1540675	WT	Cluster0	10.6
77.188446	-18.785322	WT	Cluster4	7.6
10.748489	-36.461098	WT	Cluster3	9.5
12.163922	-5.086765	WT	Cluster3	9.2
64.22717	-23.340776	WT	Cluster4	8.1
13.30527	-1.8823518	WT	Cluster3	8.4
34.25514	24.651081	WT	Cluster1	7.9
6.8118305	-33.616547	WT	Cluster3	9.5
-97.41725	-5.3720956	WT	Cluster0	10.4
-83.10186	0.46064654	WT	Cluster0	10.4
6.953504	-10.406916	WT	Cluster3	9.4
37.687664	-50.03409	WT	Cluster3	10.4
1.8318263	-27.912247	WT	Cluster3	9.3
56.345062	18.536879	WT	Cluster1	7.9
39.85459	2.9866128	WT	Cluster1	10.4
87.34607	-27.50792	WT	Cluster4	7.2
44.41516	8.264859	WT	Cluster1	10.4
-76.23164	9.546026	WT	Cluster0	8.6
4.2794137	-35.782055	WT	Cluster3	9.3
-42.553864	50.13963	WT	Cluster2	10.6
30.70456	20.893887	WT	Cluster1	7.9
31.057709	25.312387	WT	Cluster1	7.9
62.98178	10.252314	WT	Cluster1	7.8
1.6648142	2.0623388	WT	Cluster3	9.1
53.929688	4.8646793	WT	Cluster1	2.5
57.78039	15.641284	WT	Cluster1	7.7
62.421066	15.679889	WT	Cluster1	7.7
65.0503	-29.87694	WT	Cluster4	10.6
-7.9475884	-38.69982	WT	Cluster3	8.1
65.70344	13.629984	WT	Cluster1	7.8
71.725716	-23.555353	WT	Cluster4	7.9
-4.4097147	3.29949	WT	Cluster3	9.4
-72.321846	-17.470577	WT	Cluster0	10.4
46.908592	13.724129	WT	Cluster1	5.3
-72.83177	9.997207	WT	Cluster0	10.6
87.28829	-6.8431044	WT	Cluster4	8.9
73.60565	-22.962214	WT	Cluster4	7.9
65.915504	-14.619595	WT	Cluster4	11
-61.518032	-26.546207	WT	Cluster0	10.4
63.136635	-8.936676	WT	Cluster4	10.3
-63.8851	-23.583977	WT	Cluster0	10.6
9.961703	5.154752	WT	Cluster1	9.5
75.62069	-23.104774	WT	Cluster4	7.8
-82.58066	-0.46495593	WT	Cluster0	10.6
1.7470111	-34.92761	WT	Cluster3	9.5
-76.67874	-11.050904	WT	Cluster0	10.4
24.94698	31.129204	WT	Cluster1	7.6
64.96146	-31.237543	WT	Cluster4	10.6
10.321058	-27.14591	WT	Cluster3	12.3
3.9553108	-37.803978	WT	Cluster3	9.5
53.89422	12.844611	WT	Cluster1	7.9
-7.8243246	67.04664	WT	Cluster2	4.5
5.6208043	-0.60920644	WT	Cluster3	9.4
0.8078435	-28.040104	WT	Cluster3	9.3
64.24692	11.075787	WT	Cluster1	7.7
-79.839905	-9.35692	WT	Cluster0	10.4
6.355773	-39.90266	WT	Cluster3	9.3
24.774782	34.375164	WT	Cluster1	10.6
7.8939934	5.5674024	WT	Cluster3	9.7
42.26929	-50.450054	WT	Cluster3	10.6
-94.102455	-23.889637	WT	Cluster0	10.6
6.9814754	-44.78173	WT	Cluster3	10.6
57.554043	-55.60035	WT	Cluster4	10.4
30.729383	5.938682	WT	Cluster1	10.6
-5.469567	5.286274	WT	Cluster3	9.6
83.11945	-22.228548	WT	Cluster4	1.5
3.5820594	-29.693953	WT	Cluster3	9.3
84.52405	-19.053617	WT	Cluster4	7.6
-2.429076	-0.890111	WT	Cluster3	9.3
-0.8347068	2.818848	WT	Cluster3	9.7
-73.29601	-15.151273	WT	Cluster0	10.4
65.72459	-25.399492	WT	Cluster4	10.6
75.49972	-28.508944	WT	Cluster4	5.1
-2.9859333	-4.4177275	WT	Cluster3	10.4
-72.83569	-17.963518	WT	Cluster0	10.6
81.85291	-26.452	WT	Cluster4	7.8
6.562614	3.4547822	WT	Cluster3	10.4
-85.43934	1.4082537	WT	Cluster0	10.4
3.5934014	-1.179381	WT	Cluster3	9.9
4.1860566	-49.783916	WT	Cluster3	4.6
-4.9887567	4.512156	WT	Cluster3	9.3
80.95078	-19.439608	WT	Cluster4	7.6
23.331562	38.499016	WT	Cluster1	10.4
26.88737	20.544611	WT	Cluster1	8.1
6.447116	-39.26836	WT	Cluster3	9.3
7.984564	-35.90165	WT	Cluster3	9.3
-43.03194	52.24405	WT	Cluster2	10.6
11.130672	-39.3796	WT	Cluster3	9.5
-1.0937936	-0.11057028	WT	Cluster3	9.6
-1.6065367	-0.96144503	WT	Cluster3	9.3
-90.31626	-3.2936373	WT	Cluster0	10.4
-6.1396856	1.7585361	WT	Cluster3	9.5
75.65492	-10.799655	WT	Cluster4	7.8
-81.64423	-2.8471797	WT	Cluster0	10.4
1.29657	-1.9194448	WT	Cluster3	16.5
-77.78484	6.503311	WT	Cluster0	8.6
-10.375969	27.17023	WT	Cluster2	10.4
79.8495	-28.270296	WT	Cluster4	7.8
32.096844	12.418711	WT	Cluster1	9.4
33.266342	25.1118	WT	Cluster1	7.8
-44.315792	57.577698	WT	Cluster2	10.6
53.19123	13.015329	WT	Cluster1	7.9
8.238699	-8.19798	WT	Cluster3	10.1
32.46689	29.518358	WT	Cluster1	7.7
35.995075	23.418955	WT	Cluster1	6.1
44.109375	7.7039833	WT	Cluster1	10.4
-60.436146	-22.610014	WT	Cluster0	10.6
8.327747	-37.967663	WT	Cluster3	9.3
-40.223164	49.292583	WT	Cluster2	10.6
24.683647	30.453133	WT	Cluster1	7.8
5.5253415	-30.265593	WT	Cluster3	9.5
-41.638344	48.941563	WT	Cluster2	10.6
22.806103	31.317577	WT	Cluster1	7.7
-0.35765472	1.873969	WT	Cluster3	9.5
78.14913	-6.2319317	WT	Cluster4	10.6
9.407039	-44.38117	WT	Cluster3	6.9
9.773805	3.5857615	WT	Cluster3	9.4
-74.151855	9.217959	WT	Cluster0	10.6
6.285615	-45.980774	WT	Cluster3	6.1
8.628379	4.5462866	WT	Cluster3	9.7
-86.703285	3.843372	WT	Cluster0	10.6
-92.07521	-0.39631343	WT	Cluster0	9.9
-72.96838	-10.794979	WT	Cluster0	10.6
-41.125626	57.113907	WT	Cluster2	10.6
60.54229	15.792797	WT	Cluster1	7.8
59.91812	-11.958096	WT	Cluster4	6.7
